transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,address,postcode,state,country,gender,job_title,job_industry_category,wealth_segment,Name,Month
1,2,2950,2017-02-25,0.0,Approved,Solex,Standard,Medium,High,71.49,984 Hoepker Court,3064.0,Victoria,Australia,Male,Software Engineer I,Financial Services,Mass Customer,Kristos Anthony,2
2,3,3120,2017-05-21,1.0,Approved,Trek Bicycles,Standard,Medium,large,2091.47,4 Shopko Circle,2196.0,New South Wales,Australia,Female,Clinical Specialist,Health,Mass Customer,Lauree O'Donnell,5
3,37,402,2017-10-16,0.0,Approved,OHM Cycles,Standard,Low,High,1793.43,586 Miller Parkway,2835.0,New South Wales,Australia,Male,Desktop Support Technician,Retail,Affluent Customer,Berne Donegan,10
4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,Medium,High,1198.46,1617 Harper Parkway,2096.0,New South Wales,Australia,Male,Staff Scientist,Financial Services,Mass Customer,Titus Worsall,8
5,78,787,2017-10-01,1.0,Approved,Giant Bicycles,Standard,Medium,large,1765.3,0601 Stephen Place,2292.0,New South Wales,Australia,Female,Unknown,Retail,Affluent Customer,Norma Batrim,10
6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,Medium,High,1538.99,7174 Thackeray Point,2153.0,New South Wales,Australia,Male,Web Designer II,Property,Affluent Customer,Damien Haddeston,3
7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,Medium,High,60.34,243 Mosinee Place,2155.0,New South Wales,Australia,Male,Food Chemist,Health,Mass Customer,Sanders Fernyhough,4
8,15,2459,2017-07-15,0.0,Approved,WeareA2B,Standard,Medium,High,1292.84,975 Annamark Hill,4034.0,Queensland,Australia,Female,Quality Engineer,Manufacturing,High Net Worth,Jeanna Naulls,7
9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,Medium,large,1071.23,3 School Place,4124.0,Queensland,Australia,Male,Executive Secretary,Financial Services,High Net Worth,Averil Gentiry,8
10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,Medium,High,1231.15,2558 Morningstar Center,4221.0,Queensland,Australia,Male,Product Engineer,Entertainment,Mass Customer,Maynord L'Episcopi,8
11,5,1986,2017-01-17,0.0,Approved,Trek Bicycles,Mountain,Low,High,574.64,366 International Way,2170.0,New South Wales,Australia,Female,Unknown,Retail,Mass Customer,Melania Ruske,1
12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,Low,High,71.16,13392 Emmet Parkway,2171.0,New South Wales,Australia,Male,Sales Representative,Retail,Affluent Customer,Antonin Gleaves,1
13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,Low,High,1057.51,2 Eliot Lane,2155.0,New South Wales,Australia,Male,Research Assistant II,Retail,Mass Customer,Robbert Blakey,2
14,16,2717,2017-09-10,0.0,Approved,Norco Bicycles,Standard,High,small,1661.92,6994 Hanson Place,2580.0,New South Wales,Australia,Male,Registered Nurse,Health,Mass Customer,Frederic McGown,9
15,12,247,2017-06-11,0.0,Approved,Giant Bicycles,Standard,Medium,large,1765.3,2 2nd Plaza,2283.0,New South Wales,Australia,Female,Staff Accountant II,Financial Services,High Net Worth,Kristal Joysey,6
16,3,2961,2017-10-10,0.0,Approved,Trek Bicycles,Standard,Medium,large,2091.47,8 Roxbury Way,3031.0,Victoria,Australia,Male,Assistant Manager,Health,Mass Customer,Merv Barradell,10
17,79,2426,2017-04-03,0.0,Approved,Norco Bicycles,Standard,Medium,High,1555.58,4 Becker Center,2145.0,New South Wales,Australia,Unknown,Unknown,IT,Affluent Customer,Yancy Ovett,4
18,33,1842,2017-06-02,0.0,Approved,Giant Bicycles,Standard,Medium,small,1311.44,9649 Cascade Way,2250.0,New South Wales,Australia,Male,Accountant IV,Financial Services,Mass Customer,Ephrayim Beville,6
19,54,2268,2017-04-06,1.0,Approved,WeareA2B,Standard,Medium,High,1292.84,9574 David Lane,3218.0,Victoria,Australia,Female,Pharmacist,Health,Mass Customer,Wilhelmina Gothup,4
20,25,3002,2017-01-28,1.0,Approved,Giant Bicycles,Road,Medium,High,1538.99,673 Comanche Parkway,2470.0,New South Wales,Australia,Male,Paralegal,Financial Services,Mass Customer,Tracey Verdun,1
21,27,1582,2017-10-09,0.0,Approved,Trek Bicycles,Standard,Medium,High,499.53,85301 John Wall Road,2101.0,New South Wales,Australia,Male,Office Assistant III,Property,Mass Customer,Francesco Wasson,10
22,37,595,2017-06-29,1.0,Approved,OHM Cycles,Standard,Low,High,1793.43,0278 Elka Place,4305.0,Queensland,Australia,Male,VP Marketing,Financial Services,Mass Customer,Nikola Jeanon,6
23,37,2001,2017-04-08,1.0,Approved,OHM Cycles,Standard,Low,High,1793.43,3 Bonner Point,2800.0,New South Wales,Australia,Female,Analog Circuit Design manager,Manufacturing,Mass Customer,Mada Martinho,4
24,82,515,2017-10-18,0.0,Approved,Giant Bicycles,Road,Medium,High,1538.99,12845 Paget Lane,2026.0,New South Wales,Australia,Female,Help Desk Operator,IT,High Net Worth,Winna Verny,10
25,89,2822,2017-06-11,0.0,Approved,WeareA2B,Touring,Medium,large,1362.99,99216 Oakridge Hill,3124.0,Victoria,Australia,Female,Professor,Unknown,Mass Customer,Rebecca Shaughnessy,6
26,64,2596,2017-01-10,0.0,Approved,Trek Bicycles,Standard,Medium,large,1469.44,33782 Doe Crossing Terrace,2280.0,New South Wales,Australia,Female,Assistant Professor,Unknown,Affluent Customer,Lexis Deason,1
27,64,2666,2017-04-11,1.0,Approved,Trek Bicycles,Standard,Medium,large,1469.44,0 Knutson Crossing,2151.0,New South Wales,Australia,Male,Occupational Therapist,Health,Mass Customer,Lyle Eager,4
28,19,76,2017-12-23,0.0,Approved,Trek Bicycles,Mountain,Low,High,574.64,439 Ridgeway Court,4213.0,Queensland,Australia,Female,Statistician II,Retail,High Net Worth,Rea Hasser,12
29,72,3368,2017-10-13,1.0,Approved,Norco Bicycles,Standard,Medium,High,360.4,2 Roxbury Place,2564.0,New South Wales,Australia,Female,Technical Writer,Financial Services,Affluent Customer,Tanya Boddis,10
30,91,1173,2017-03-15,0.0,Approved,WeareA2B,Standard,Low,High,642.31,71 Cherokee Hill,2127.0,New South Wales,Australia,Female,Statistician IV,Retail,High Net Worth,Gertie Chaim,3
31,88,2810,2017-09-05,1.0,Approved,Norco Bicycles,Standard,Medium,High,1198.46,453 Gina Avenue,3141.0,Victoria,Australia,Male,Unknown,Property,Mass Customer,Malvin Burchill,9
32,1,3214,2017-02-18,0.0,Approved,Giant Bicycles,Standard,Medium,High,1403.5,050 Monterey Street,4869.0,Queensland,Australia,Female,Software Engineer III,Financial Services,Mass Customer,Cindelyn Balas,2
33,25,1272,2017-03-20,0.0,Approved,Giant Bicycles,Road,Medium,High,1538.99,26 Portage Junction,4503.0,Queensland,Australia,Female,Unknown,Manufacturing,Affluent Customer,Nettie Bulfit,3
34,99,2003,2017-02-28,1.0,Approved,Trek Bicycles,Road,Low,small,1720.7,064 Fallview Terrace,4500.0,Queensland,Australia,Female,Statistician III,Manufacturing,High Net Worth,Lilli Hargey,2
35,0,2171,2017-08-20,0.0,Approved,Norco Bicycles,Road,Medium,High,544.05,6 Tennyson Place,2138.0,New South Wales,Australia,Female,Pharmacist,Health,High Net Worth,Laryssa Maes,8
